Ticker,Name,Sector,Asset Class,Market Value,Weight,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","979,601,353.99","6.18","979,601,353.99","6,200,401.00","157.99","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","977,319,126.56","6.16","977,319,126.56","1,964,816.00","497.41","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","801,250,195.83","5.05","801,250,195.83","3,905,299.00","205.17","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","557,545,679.55","3.51","557,545,679.55","2,541,345.00","219.39","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","426,938,565.33","2.69","426,938,565.33","578,437.00","738.09","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","337,261,358.45","2.13","337,261,358.45","1,223,513.00","275.65","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","271,388,384.41","1.71","271,388,384.41","1,539,967.00","176.23","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","237,362,280.87","1.50","237,362,280.87","488,631.00","485.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","236,718,008.38","1.49","236,718,008.38","745,193.00","317.66","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","222,430,740.12","1.40","222,430,740.12","1,253,908.00","177.39","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","213,306,500.88","1.34","213,306,500.88","735,768.00","289.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","165,448,226.73","1.04","165,448,226.73","212,241.00","779.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","160,209,921.60","1.01","160,209,921.60","451,232.00","355.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","150,353,499.01","0.95","150,353,499.01","112,277.00","1,339.13","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","123,754,184.40","0.78","123,754,184.40","1,147,998.00","107.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","121,117,737.90","0.76","121,117,737.90","215,535.00","561.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","116,407,044.60","0.73","116,407,044.60","117,590.00","989.94","United States","NASDAQ","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","112,839,880.04","0.71","112,839,880.04","1,154,018.00","97.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","99,140,693.68","0.63","99,140,693.68","622,274.00","159.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","97,383,165.75","0.61","97,383,165.75","637,533.00","152.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","96,696,533.68","0.61","96,696,533.68","263,737.00","366.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","95,907,733.88","0.60","95,907,733.88","438,676.00","218.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","87,118,148.32","0.55","87,118,148.32","469,336.00","185.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","85,979,872.16","0.54","85,979,872.16","1,816,988.00","47.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","78,886,611.84","0.50","78,886,611.84","578,687.00","136.32","United States","NASDAQ","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","75,280,157.16","0.47","75,280,157.16","413,332.00","182.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","75,208,791.69","0.47","75,208,791.69","241,077.00","311.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","73,158,504.18","0.46","73,158,504.18","1,054,461.00","69.38","United States","NASDAQ","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","73,027,654.75","0.46","73,027,654.75","1,032,193.00","70.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","72,660,322.20","0.46","72,660,322.20","246,490.00","294.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","71,706,022.71","0.45","71,706,022.71","278,589.00","257.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","69,170,320.08","0.44","69,170,320.08","863,334.00","80.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
