Ticker,Name,Sector,Asset Class,Market Value,Weight,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"WLY","JOHN WILEY AND SONS INC CLASS A","Communication","Equity","382,069.11","0.00","382,069.11","8,741.00","43.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SSRM","SSR MINING INC","Materials","Equity","380,350.08","0.00","380,350.08","54,648.00","6.96","Canada","NASDAQ","USD","1.00","USD","-"
"STR","SITIO ROYALTIES CORP CLASS A","Energy","Equity","377,961.08","0.00","377,961.08","19,706.00","19.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ATRC","ATRICURE INC","Health Care","Equity","378,638.40","0.00","378,638.40","12,390.00","30.56","United States","NASDAQ","USD","1.00","USD","-"
"LNN","LINDSAY CORP","Industrials","Equity","376,580.73","0.00","376,580.73","3,183.00","118.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JAMF","JAMF HOLDING CORP","Information Technology","Equity","376,919.35","0.00","376,919.35","26,827.00","14.05","United States","NASDAQ","USD","1.00","USD","-"
"AIV","APARTMENT INVESTMENT AND MANAGEMEN","Real Estate","Equity","376,962.30","0.00","376,962.30","41,470.00","9.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LTH","LIFE TIME GROUP HOLDINGS INC","Consumer Discretionary","Equity","376,969.04","0.00","376,969.04","17,042.00","22.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GIII","G III APPAREL GROUP LTD","Consumer Discretionary","Equity","377,217.68","0.00","377,217.68","11,564.00","32.62","United States","NASDAQ","USD","1.00","USD","-"
"TPB","TURNING POINT BRANDS INC","Consumer Staples","Equity","377,788.60","0.00","377,788.60","6,286.00","60.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UVV","UNIVERSAL CORP","Consumer Staples","Equity","375,050.76","0.00","375,050.76","6,839.00","54.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRDN","VIRIDIAN THERAPEUTICS ORS INC","Health Care","Equity","375,847.02","0.00","375,847.02","19,606.00","19.17","United States","NASDAQ","USD","1.00","USD","-"
"PGNY","PROGYNY INC","Health Care","Equity","373,462.50","0.00","373,462.50","21,650.00","17.25","United States","NASDAQ","USD","1.00","USD","-"
"ELME","ELME","Real Estate","Equity","373,504.20","0.00","373,504.20","24,460.00","15.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
