Ticker,Name,Sector,Asset Class,Market Value,Weight,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","1,086,529,090.24","6.41","1,086,529,090.24","6,212,998.00","174.88","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1,002,202,024.32","5.92","1,002,202,024.32","1,968,808.00","509.04","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","931,936,438.95","5.50","931,936,438.95","3,913,233.00","238.15","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","596,010,197.40","3.52","596,010,197.40","2,546,508.00","234.05","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","451,516,969.00","2.67","451,516,969.00","579,611.00","779.00","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","441,359,640.00","2.61","441,359,640.00","1,225,999.00","360.00","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","387,563,991.36","2.29","387,563,991.36","1,543,096.00","251.16","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","315,897,916.10","1.87","315,897,916.10","1,256,455.00","251.42","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","314,826,605.34","1.86","314,826,605.34","746,707.00","421.62","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","240,400,978.75","1.42","240,400,978.75","489,625.00","490.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","227,954,346.97","1.35","227,954,346.97","737,263.00","309.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","162,632,405.12","0.96","162,632,405.12","212,672.00","764.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","153,743,884.44","0.91","153,743,884.44","452,148.00","340.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","135,063,377.55","0.80","135,063,377.55","112,505.00","1,200.51","United States","NASDAQ","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","134,793,220.55","0.80","134,793,220.55","439,567.00","306.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","131,919,844.40","0.78","131,919,844.40","1,150,330.00","114.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","126,650,886.66","0.75","126,650,886.66","215,973.00","586.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","119,445,549.52","0.71","119,445,549.52","1,154,956.00","103.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","112,727,765.34","0.67","112,727,765.34","638,829.00","176.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","112,181,456.03","0.66","112,181,456.03","117,829.00","952.07","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","111,394,292.40","0.66","111,394,292.40","264,312.00","421.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","101,704,699.14","0.60","101,704,699.14","470,289.00","216.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","98,727,304.12","0.58","98,727,304.12","579,862.00","170.26","United States","NASDAQ","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","98,550,180.90","0.58","98,550,180.90","623,538.00","158.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","92,235,598.14","0.54","92,235,598.14","1,820,679.00","50.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","82,198,218.48","0.49","82,198,218.48","241,916.00","339.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","81,887,751.73","0.48","81,887,751.73","279,509.00","292.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","81,428,258.76","0.48","81,428,258.76","510,394.00","159.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","70,807,790.34","0.42","70,807,790.34","1,057,938.00","66.93","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","70,507,261.71","0.42","70,507,261.71","866,289.00","81.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","68,700,307.16","0.41","68,700,307.16","428,146.00","160.46","United States","NASDAQ","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","68,448,176.64","0.40","68,448,176.64","1,033,336.00","66.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","67,399,278.24","0.40","67,399,278.24","413,594.00","162.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
