Ticker,Name,Sector,Asset Class,Market Value,Weight,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","1,082,658,289.92","6.53","1,082,658,289.92","6,215,744.00","174.18","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","998,015,639.13","6.02","998,015,639.13","1,969,677.00","506.69","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","908,819,510.82","5.48","908,819,510.82","3,914,963.00","232.14","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","583,408,186.00","3.52","583,408,186.00","2,547,634.00","229.00","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","428,348,491.60","2.58","428,348,491.60","579,868.00","738.70","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","364,761,622.77","2.20","364,761,622.77","1,226,543.00","297.39","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","328,685,986.89","1.98","328,685,986.89","1,543,779.00","212.91","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","268,409,345.30","1.62","268,409,345.30","1,257,010.00","213.53","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","249,305,737.05","1.50","249,305,737.05","746,715.00","333.87","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","246,459,697.02","1.49","246,459,697.02","489,999.00","502.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","222,275,547.76","1.34","222,275,547.76","737,428.00","301.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","159,229,699.20","0.96","159,229,699.20","452,640.00","351.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","155,867,383.70","0.94","155,867,383.70","212,765.00","732.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","136,012,702.50","0.82","136,012,702.50","112,570.00","1,208.25","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","131,557,161.78","0.79","131,557,161.78","1,151,082.00","114.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","128,645,145.45","0.78","128,645,145.45","216,105.00","595.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","113,126,056.89","0.68","113,126,056.89","638,517.00","177.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","112,083,471.24","0.68","112,083,471.24","1,155,738.00","96.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","111,251,387.52","0.67","111,251,387.52","117,936.00","943.32","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","107,462,939.22","0.65","107,462,939.22","264,186.00","406.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","99,506,019.07","0.60","99,506,019.07","440,039.00","226.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","98,927,344.80","0.60","98,927,344.80","470,187.00","210.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","97,884,916.48","0.59","97,884,916.48","623,312.00","157.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
